N,t
1200,0.031012
1201,0.03092
1202,0.030884
1203,0.031019
1204,0.030876
1205,0.031312
1206,0.030914
1207,0.031077
1208,0.031238
1209,0.03115
1210,0.031053
1211,0.031153
1212,0.032458
1213,0.032164
1214,0.033068
1215,0.033052
1216,0.033687
1217,0.033777
1218,0.03406
1219,0.034462
1220,0.033266
1221,0.032848
1222,0.033
1223,0.032835
1224,0.031994
1225,0.031863
1226,0.03176
1227,0.031907
1228,0.032099
1229,0.031952
1230,0.032487
1231,0.032084
1232,0.032404
1233,0.032115
1234,0.032232
1235,0.032338
1236,0.032321
1237,0.032642
1238,0.032458
1239,0.032792
1240,0.03229
1241,0.035497
1242,0.03307
1243,0.033022
1244,0.033479
1245,0.033206
1246,0.033266
1247,0.032878
1248,0.033097
1249,0.032846
1250,0.032868
1251,0.03301
1252,0.032942
1253,0.033138
1254,0.033123
1255,0.033372
1256,0.033257
1257,0.033513
1258,0.033198
1259,0.033808
1260,0.033534
1261,0.033489
1262,0.033632
1263,0.033727
1264,0.033817
1265,0.033985
1266,0.033931
1267,0.034075
1268,0.03419
1269,0.033799
1270,0.034147
1271,0.034286
1272,0.034354
1273,0.034463
1274,0.03433
1275,0.034593
1276,0.0342
1277,0.034672
1278,0.034704
1279,0.034841
1280,0.034971
1281,0.034853
1282,0.034777
1283,0.035237
1284,0.035164
1285,0.034876
1286,0.035528
1287,0.035547
1288,0.035251
1289,0.035228
1290,0.035319
1291,0.03536
1292,0.035309
1293,0.035437
1294,0.03553
1295,0.035738
1296,0.035635
1297,0.035609
1298,0.038068
1299,0.036262
1300,0.037317
1301,0.037327
1302,0.036538
1303,0.036665
1304,0.036146
1305,0.036058
1306,0.036811
1307,0.036214
1308,0.03663
1309,0.036532
1310,0.036444
1311,0.036472
1312,0.036271
1313,0.0361
1314,0.036231
1315,0.03638
1316,0.036799
1317,0.036655
1318,0.036748
1319,0.03665
1320,0.036905
1321,0.037001
1322,0.036758
1323,0.036604
1324,0.036677
1325,0.036937
1326,0.036807
1327,0.036836
1328,0.037146
1329,0.037383
1330,0.037253
1331,0.03732
1332,0.037522
1333,0.037982
1334,0.037665
1335,0.03803
1336,0.037984
1337,0.037887
1338,0.037882
1339,0.037859
1340,0.038038
1341,0.03801
1342,0.038051
1343,0.038296
1344,0.038313
1345,0.038172
1346,0.038346
1347,0.038544
1348,0.038264
1349,0.038363
1350,0.038662
1351,0.03896
1352,0.038584
1353,0.038816
1354,0.039745
1355,0.041393
1356,0.039259
1357,0.039538
1358,0.039659
1359,0.039747
1360,0.039818
1361,0.039671
1362,0.039761
1363,0.039434
1364,0.039858
1365,0.039652
1366,0.039734
1367,0.039843
1368,0.039396
1369,0.039865
1370,0.039398
1371,0.039958
1372,0.039878
1373,0.040276
1374,0.040127
1375,0.04021
1376,0.040064
1377,0.039977
1378,0.041434
1379,0.040243
1380,0.040262
1381,0.040155
1382,0.040371
1383,0.039923
1384,0.040433
1385,0.040986
1386,0.040977
1387,0.04081
1388,0.040869
1389,0.041103
1390,0.040766
1391,0.04073
1392,0.040581
1393,0.042483
1394,0.040725
1395,0.040919
1396,0.041162
1397,0.041206
1398,0.040748
1399,0.041373
1400,0.041394
1401,0.041561
1402,0.041079
1403,0.041106
1404,0.040861
1405,0.047392
1406,0.041954
1407,0.042483
1408,0.042686
1409,0.042209
1410,0.041996
1411,0.043446
1412,0.041109
1413,0.041664
1414,0.042225
1415,0.042011
1416,0.042099
1417,0.042629
1418,0.042503
1419,0.04228
1420,0.041933
1421,0.04191
1422,0.042266
1423,0.042836
1424,0.042661
1425,0.042919
1426,0.043148
1427,0.042993
1428,0.043164
1429,0.042993
1430,0.042897
1431,0.043414
1432,0.043441
1433,0.043745
1434,0.043449
1435,0.043487
1436,0.043479
1437,0.043427
1438,0.043065
1439,0.043827
1440,0.043774
1441,0.043942
1442,0.043734
1443,0.043826
1444,0.043532
1445,0.043791
1446,0.043739
1447,0.043768
1448,0.04404
1449,0.044058
1450,0.043904
1451,0.044439
1452,0.047019
1453,0.046356
1454,0.045301
1455,0.045117
1456,0.044775
1457,0.044352
1458,0.044452
1459,0.044862
1460,0.04469
1461,0.044453
1462,0.045356
1463,0.045289
1464,0.045005
1465,0.044935
1466,0.045215
